20060512 0844 27.65 36 48.92 121 31.88   4.20   2.07 44  34  3.0 0.09  0.2  0.3  D 205 65 150  0.19  55  0.24 0.69 0.04  15 28 35    21516937
20060512 0917  6.11 36 48.84 121 31.69   4.48   2.39 56  34  3.0 0.09  0.1  0.3  D 130 80  30  0.18  63  0.23 0.68 0.03  13 30 25    21516939
20060512 0917  6.11 36 48.84 121 31.69   4.48   2.39 56  34  3.0 0.09  0.1  0.3  D  35 65-150  0.18  63  0.23 0.61 0.03  10 30 20 *  21516939
20060512 1125 46.51 36 48.73 121 31.53   4.40   2.59 63  34  3.0 0.10  0.1  0.2  D 305 80 -50  0.15  71  0.19 0.63 0.06  15 20 20    21516973
20060513 0835 38.00 36 32.72 121  8.23   8.98   2.14 47  57  6.0 0.07  0.1  0.3  D 315 80  30  0.13  49  0.20 0.64 0.02   8 18 30    21517258
20060514 0422 31.04 36 34.19 121  4.27  10.13   2.74 67  33  7.0 0.13  0.1  0.3  D  85 85-130  0.14  94  0.20 0.61 0.07  15 23 25    21517414
20060515 2355  2.22 37 35.89 121 59.73   6.44   2.31 80  23  3.0 0.14  0.1  0.3  D 140 55  30  0.06  68  0.11 0.69 0.07  13 30 30    21517672
20060515 2355  2.22 37 35.89 121 59.73   6.44   2.31 80  23  3.0 0.14  0.1  0.3  D 230 60 170  0.06  68  0.12 0.64 0.07  13 38 30 *  21517672
20060519 1937 50.93 37 55.97 122 18.06   8.81   2.26 67  26  3.0 0.12  0.2  0.3  D 225 85 150  0.08  65  0.15 0.70 0.15  15 28 40    21518220
20060522 1628 54.07 36 28.72 121  3.40   7.61   2.16 45  55  4.0 0.06  0.1  0.3  D 230 80 150  0.08  45  0.14 0.64 0.02   8 35 45    21518609
20060523 1657 35.62 36 58.47 121 36.83   4.58   2.40 78  33  3.0 0.14  0.2  0.3  D 125 75   0  0.11  73  0.16 0.67 0.10   8 43 20    21518725
20060524 0224 55.92 37 48.34 122  5.08  12.59   2.86105  36  2.0 0.19  0.2  0.4  D 225 85 160  0.06  98  0.11 0.70 0.08   8 25 45    21518850
20060524 1530 48.28 36 33.80 121  9.53   6.41   2.00 38  53  3.0 0.03  0.1  0.3  D 240 35-160  0.08  36  0.19 0.61 0.03  23 43 40    21518890
20060525 0538 17.71 37 48.66 122  4.83  13.45   3.22125  36  2.0 0.20  0.2  0.3  L 135 55 -10  0.16 128  0.19 0.55 0.16   8 25 15    21519010
20060525 0639 23.31 37 48.43 122  4.57  12.44   2.37 86  36  2.0 0.13  0.1  0.2  D 315 80  30  0.05  69  0.11 0.69 0.03  13 23 30    21519019
20060525 1321 32.91 36 48.68 121 31.74   6.12   2.92 64  52  3.0 0.06  0.1  0.2  D 135 75  30  0.20  85  0.24 0.65 0.15   8 23 35    21519045
20060525 1321 32.91 36 48.68 121 31.74   6.12   2.92 64  52  3.0 0.06  0.1  0.2  D 210 75 130  0.22  85  0.26 0.60 0.15  15 18 25 *  21519045
20060525 1334 18.43 36 48.62 121 31.72   5.79   3.03 75  34  3.0 0.11  0.1  0.2  D 155 55  50  0.20  98  0.24 0.58 0.10  10 10 10    21519046
20060527 0358  4.77 36 38.17 121 14.92   6.87   2.57 61  40  4.0 0.05  0.1  0.3  D 130 75 -10  0.16  68  0.21 0.64 0.07   8 35 20    21519311
20060529 1232 11.32 36 31.70 121  5.27   2.85   2.48 44  48  8.0 0.06  0.1  0.8  D 155 35 -60  0.18  42  0.24 0.64 0.10  30 20 30    21519597
20060602 0444 26.02 36 29.45 121  3.86   2.72   2.42 46  54  2.0 0.07  0.1  0.3  D 150 60  10  0.13  49  0.19 0.64 0.00  18 33 30    21520261
