number,name,region,lat,lon,elev,type,status,lasterp
0603-16=,"Karaha, Kawah",Java,-7.12,108.08,1155,Fumarole field,Fumarolic,U
0603-02=,Karang,Java,-6.27,106.042,1778,Stratovolcano,Holocene,Unknown
0607-02=,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1
0103-001,Karapinar Field,Turkey,37.67,33.65,1302,Cinder cone,Holocene,D7
0203-04-,Karisimbi,Africa-C,-1.5,29.45,4507,Stratovolcano,Holocene,U
0501-03=,Karkar,New Guinea-NE of,-4.649,145.964,1839,Stratovolcano,Historical,D1
0900-35=,Karpinsky Group,Kuril Is,50.13,155.37,1345,Cone,Historical,D2
0103-05-,Kars Plateau,Turkey,40.75,42.9,3000,Volcanic field,Holocene,Unknown
0303-01=,Karthala,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical,D1
1000-13=,Karymsky,Kamchatka,54.05,159.43,1536,Stratovolcano,Historical,D1
1101-13-,Kasatochi,Aleutian Is,52.18,-175.5,314,Stratovolcano,Historical,D4
0104-02-,Kasbek,Georgia,42.7,44.5,5050,Stratovolcano,Tephrochronology,D7
0804-134,Kasuga,Volcano Is-Japan,21.77,143.72,-558,Submarine volcano,Uncertain,Unknown
1702-03=,Katla,Iceland-S,63.63,-19.05,1512,Subglacial volcano,Historical,D2
1102-17-,Katmai,Alaska Peninsula,58.27,-154.98,2047,Stratovolcano,Historical,D2
0203-005,Katunga,Africa-C,-0.47,30.18,1707,Tuff cone,Holocene,U
0203-003,Katwe-Kikorongo Field,Africa-C,-0.08,29.92,1067,Tuff cone,Holocene,U
0505-06=,Kavachi,Solomon Is-SW Pacifi,-9.02,157.95,-20,Submarine volcano,Historical,D1
0603-281,Kawi-Butak,Java,-7.92,112.45,2651,Stratovolcano,Holocene,U
1000-50-,Kebeney,Kamchatka,57.1,159.93,1527,Shield volcano,Holocene,U
1000-41-,Kekurny,Kamchatka,56.4,158.85,1377,Shield volcano,Holocene,U
0604-14=,Kelimutu,Lesser Sunda Is,-8.758,121.83,1640,Complex volcano,Historical,D1
1000-041,Kell,Kamchatka,51.65,157.35,900,Stratovolcano,Holocene,U
1005-02-,Keluo Group,China-E,49.37,125.92,670,Pyroclastic cone,Holocene,U
0603-28=,Kelut,Java,-7.93,112.308,1731,Stratovolcano,Historical,D1
0601-06=,Kembar,Sumatra,3.85,97.664,2245,Shield volcano,Pleistocene-Fumarol,Q
0603-11=,Kendang,Java,-7.23,107.72,2608,Stratovolcano,Holocene,U
0304-02=,Kerguelen Islands,Indian O-S,-49.58,69.5,1840,Stratovolcano,Holocene,U
0601-17=,Kerinci,Sumatra,-1.814,101.264,3800,Stratovolcano,Historical,D1
1701-10=,Kerlingarfjoll,Iceland-SW,64.63,-19.32,1488,Stratovolcano,Holocene,U
0900-20=,Ketoi,Kuril Is,47.35,152.475,1172,Stratovolcano,Historical,D2
1000-272,Khangar,Kamchatka,54.75,157.38,2000,Stratovolcano,Radiocarbon,D7
1003-02-,Khanuy Gol,Mongolia,48.67,102.75,1886,Volcanic field,Holocene,U
0900-30=,Kharimkotan,Kuril Is,49.12,154.508,1145,Stratovolcano,Historical,D2
0301-06=,"Khaybar, Harrat",Arabia-W,25,39.92,2093,Volcanic field,Historical,D6
1000-053,Khodutka,Kamchatka,52.063,157.703,2090,Stratovolcano,Radiocarbon,D7
1102-12-,Kialagvik,Alaska Peninsula,57.38,-156.75,1575,Stratovolcano,Holocene,U
0603-03=,Kiaraberes-Gagak,Java,-6.73,106.65,1511,Stratovolcano,Historical,D2
1600-16=,Kick-em-Jenny,W Indies,12.3,-61.63,-177,Submarine volcano,Historical,D1
0202-17=,Kieyo,Africa-E,-9.23,33.78,2175,Stratovolcano,Historical,D3
0802-06=,Kikai,Ryukyu Is,30.78,130.28,717,Caldera,Historical,D1
1000-18=,Kikhpinych,Kamchatka,54.487,160.253,1552,Stratovolcano,Radiocarbon,D5
1302-01-,Kilauea,Hawaiian Is,19.425,-155.292,1222,Shield volcano,Historical,D1
0202-15=,Kilimanjaro,Africa-E,-3.07,37.35,5895,Stratovolcano,Holocene,U
0802-09=,Kirishima,Kyushu-Japan,31.93,130.87,1700,Shield volcano,Historical,D1
0301-071,"Kishb, Harrat",Arabia-W,22.8,41.38,1475,Volcanic field,Holocene,U
1101-02-,Kiska,Aleutian Is,52.1,177.6,1220,Stratovolcano,Historical,D1
0804-121,Kita-Fukutokutai,Volcano Is-Japan,24.414,141.419,-73,Submarine volcano,Holocene,U1
0804-11=,Kita-Iwo-jima,Volcano Is-Japan,25.43,141.23,792,Stratovolcano,Historical,D2
